elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.001,Windows,0.0,0.0,36.6875,3919.55078125,1460.06640625,0.0,0.0,NaN,NaN
1.002,Windows,0.0,36.3,36.9453125,3932.0390625,1460.0390625,0.0,0.0,NaN,NaN
2.012,Windows,75.8,40.4,65.40234375,3997.89453125,1459.20703125,0.049391746520996,54.58236312866211,NaN,NaN
3.019,Windows,80.7,82.0,81.4296875,4058.14453125,1458.80078125,0.0035247802734375,0.0169200897216796,NaN,NaN
4.02,Windows,96.7,69.5,82.83203125,4094.9609375,1458.6875,3.719329833984375e-05,0.02490234375,NaN,NaN
5.022,Windows,101.4,36.6,141.671875,4138.76171875,1458.65234375,0.0007057189941406,4.042586326599121,NaN,NaN
6.023,Windows,89.0,15.7,358.31640625,4346.54296875,1458.62890625,0.0010852813720703,162.50127983093262,NaN,NaN
7.024,Windows,76.5,15.1,770.71484375,4787.40234375,1458.625,0.0,414.21135997772217,NaN,NaN
8.026,Windows,99.9,17.6,790.34375,4760.78515625,1458.5703125,0.0,16.644357681274414,NaN,NaN
9.028,Windows,99.8,18.1,831.27734375,4799.49609375,1458.46484375,0.0,25.89429950714112,NaN,NaN
10.029,Windows,98.3,18.9,906.5078125,4872.88671875,1458.390625,0.0,23.08837890625,NaN,NaN
11.03,Windows,81.2,24.4,991.5234375,5150.015625,1435.265625,0.0,216.3952274322509,NaN,NaN
12.032,Windows,121.7,36.2,1010.21875,5021.65625,1435.2578125,0.0033397674560546,7.945492744445801,NaN,0.0
13.033,Windows,112.3,43.2,1016.57421875,5133.51171875,1435.24609375,0.0,1.69873046875,NaN,0.0
14.035,Windows,101.4,26.7,1093.38671875,5209.24609375,1435.24609375,0.0,2.595703125,NaN,0.0
15.035,Windows,98.4,23.2,1157.2109375,5298.5078125,1435.2382802963257,9.059906005859376e-05,50.261735916137695,NaN,0.0
16.037,Windows,101.4,28.3,1188.55859375,4918.77734375,1801.859375,0.001617431640625,23.483487129211422,NaN,0.0
17.038,Windows,195.0,39.8,1218.6484375,4949.578125,1801.85546875,0.0129785537719726,23.99943923950196,58.38,17.129
18.04,Windows,193.5,30.7,1218.80859375,4952.9765625,1801.85546875,0.0122585296630859,0.6863241195678711,25.29,39.538
19.041,Windows,198.2,33.3,1241.578125,4970.37890625,1801.85546875,0.0133562088012695,23.559532165527344,40.77,24.528
20.042,Windows,156.1,25.9,1241.5859375,4966.453125,1801.85546875,0.0134963989257812,4.266328811645508,28.15,35.525
21.043,Windows,218.5,38.4,1256.35546875,4975.015625,1801.85546875,0.0136919021606445,4.682243347167969,55.83,17.912
22.068,Windows,192.0,59.7,1256.35546875,4977.9921875,1801.83984375,0.0136709213256835,0.0941610336303711,33.75,29.634
23.098,Windows,122.9,42.5,1259.70703125,4977.421875,1795.68359375,0.0053930282592773,0.1540508270263672,43.56,22.958
24.099,Windows,112.4,37.1,1277.02734375,4987.89453125,1795.6796875,0.0095481872558593,0.0655441284179687,0.91,1095.669
25.1,Windows,123.3,32.8,1277.32421875,5002.6875,1795.671875,0.0141515731811523,0.0365095138549804,54.24,18.436
26.102,Windows,101.4,35.9,1277.9609375,5051.73828125,1795.65625,0.039412498474121,2.691464424133301,9.87,101.304
27.103,Windows,101.4,39.8,1277.9609375,5058.19921875,1795.64453125,0.0134468078613281,0.0364570617675781,57.6,17.362
28.108,Windows,77.7,42.6,1273.96484375,5077.8515625,1795.6054677963257,0.0134468078613281,0.0364570617675781,36.06,27.734
29.119,Windows,95.9,65.2,1273.94140625,5219.53125,1795.6054677963257,0.0134468078613281,0.0208320617675781,38.95,25.673
30.12,Windows,115.5,55.9,1273.66796875,5281.30859375,1795.6015625,0.0134468078613281,0.0364570617675781,37.94,26.36
31.121,Windows,120.2,69.2,1273.65625,5299.69140625,1795.5703125,0.0134468078613281,0.0208320617675781,42.73,23.405
32.123,Windows,121.7,62.3,1261.640625,5341.125,1795.54296875,0.0134468078613281,0.0364570617675781,54.56,18.328
