elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.001,Windows,0.0,0.0,36.61328125,2788.1484375,974.87109375,0.0,0.0,NaN,NaN
1.002,Windows,0.0,25.5,36.8828125,2803.80078125,864.578125,0.0,0.0,NaN,NaN
2.003,Windows,70.2,29.5,68.75,2868.828125,863.578125,0.0497541427612304,54.58194351196289,NaN,NaN
3.004,Windows,85.8,83.7,82.92578125,2947.79296875,863.203125,0.0024662017822265,0.0371150970458984,NaN,NaN
4.006,Windows,101.4,35.1,149.38671875,3024.96484375,863.203125,0.0007057189941406,4.046988487243652,NaN,NaN
5.007,Windows,89.0,12.5,415.0625,3314.61328125,863.203125,0.0010852813720703,223.8498020172119,NaN,NaN
6.008,Windows,81.2,13.6,778.08203125,3670.41015625,863.203125,0.0,359.9887819290161,NaN,NaN
7.009,Windows,101.4,15.4,795.58203125,3665.0390625,863.203125,0.0,11.859689712524414,NaN,NaN
8.01,Windows,96.8,20.3,871.36328125,3739.22265625,863.203125,0.0,36.56715106964111,NaN,NaN
9.011,Windows,93.7,20.5,951.640625,3802.640625,858.953125,0.0,59.42066192626953,NaN,NaN
10.012,Windows,89.0,23.9,1002.734375,3978.41796875,858.953125,0.0033245086669921,174.95079708099365,NaN,0.0
11.013,Windows,121.7,29.1,998.65625,3986.61328125,858.953125,0.0,0.6337890625,NaN,0.0
12.014,Windows,101.5,33.0,1062.140625,4103.09375,858.703125,0.0,3.16015625,NaN,0.0
13.016,Windows,103.0,14.8,1141.109375,4193.9375,858.703125,9.059906005859376e-05,46.48738098144531,NaN,0.0
14.017,Windows,132.7,24.4,1179.5,4234.8203125,858.703125,0.0024127960205078,39.25247097015381,NaN,0.0
15.018,Windows,210.7,35.6,1204.2890625,4265.5,858.703125,0.0066766738891601,13.171740531921388,NaN,0.0
16.02,Windows,218.3,33.8,1204.32421875,4258.07421875,858.703125,0.0121879577636718,18.191740036010746,NaN,0.0
17.022,Windows,199.5,29.8,1207.95703125,4258.5703125,858.703125,0.0139436721801757,1.2704477310180664,28.19,35.472
18.024,Windows,212.1,32.8,1208.03125,4258.12109375,858.703125,0.0145378112792968,0.2764930725097656,37.42,26.726
19.025,Windows,202.9,32.5,1232.796875,4259.77734375,858.703125,0.0147504806518554,9.460139274597168,21.76,45.966
20.027,Windows,120.1,21.4,1232.7734375,4257.44140625,858.703125,0.0155525207519531,0.4551124572753906,46.92,21.312
21.028,Windows,81.2,28.6,1232.57421875,4289.6953125,858.703125,0.0155067443847656,0.0371437072753906,46.7,21.413
22.029,Windows,93.6,19.0,1232.58203125,4288.03515625,858.703125,0.0156927108764648,0.0215473175048828,49.83,20.07
23.03,Windows,106.1,18.6,1232.4453125,4286.7265625,858.703125,0.0155792236328125,0.0450258255004882,29.17,34.283
24.031,Windows,124.9,21.0,1247.3125,4304.75390625,858.703125,0.0169734954833984,4.4634552001953125,58.09,17.214
25.032,Windows,117.1,20.7,1251.19140625,4276.65625,858.703125,0.0111598968505859,0.0585222244262695,1.47,682.11
26.033,Windows,95.2,15.7,1269.49609375,4293.04296875,858.703125,0.0139141082763671,0.0670709609985351,42.33,23.622
27.035,Windows,99.9,16.9,1269.5,4293.83984375,858.703125,0.0175666809082031,0.0378303527832031,55.41,18.047
28.035,Windows,120.2,23.5,1269.59765625,4293.5546875,858.703125,0.0183477401733398,0.0379056930541992,9.75,102.571
29.037,Windows,81.1,37.2,1269.8125,4335.3984375,858.703125,0.0433893203735351,2.6927919387817383,44.9,22.274
30.039,Windows,82.6,37.5,1269.80859375,4355.83984375,858.703125,0.0175666809082031,0.0378303527832031,46.76,21.388
31.042,Windows,92.0,54.0,1269.53125,4526.515625,858.703125,0.0175666809082031,0.0222053527832031,42.66,23.439
32.043,Windows,113.9,51.7,1269.53515625,4624.46484375,858.703125,0.0175666809082031,0.0378303527832031,44.54,22.451
33.044,Windows,118.6,51.6,1269.5390625,4660.40625,858.703125,0.0175666809082031,0.0222053527832031,47.17,21.2
34.045,Windows,127.9,50.6,1257.51953125,4624.99609375,858.703125,0.0176200866699218,0.017730712890625,44.18,22.637
35.047,Windows,124.8,52.9,1257.51953125,4670.96484375,858.703125,0.0177335739135742,0.0534839630126953,50.34,19.865
36.049,Windows,88.9,44.1,1257.5234375,4802.87109375,858.703125,0.01763916015625,0.0378999710083007,40.22,24.863
37.05,Windows,73.3,43.1,1257.5234375,4881.47265625,858.703125,0.0175666809082031,0.0378303527832031,44.93,22.259
38.051,Windows,87.4,43.4,1257.52734375,4893.2265625,858.703125,0.0176782608032226,0.0222053527832031,45.8,21.833
39.053,Windows,101.4,47.2,1257.421875,4733.171875,858.703125,0.0175666809082031,0.0378303527832031,57.94,17.259
40.054,Windows,103.0,45.5,1257.42578125,4772.97265625,858.703125,0.0175666809082031,0.0222053527832031,43.82,22.823
41.056,Windows,132.6,48.9,1257.42578125,4701.6015625,858.703125,0.0175666809082031,0.0378303527832031,43.82,22.823
42.057,Windows,115.5,46.9,1257.4296875,4732.33203125,858.703125,0.0175666809082031,0.0222053527832031,55.46,18.032
43.058,Windows,124.9,48.9,1257.4296875,4781.25,858.703125,0.0175666809082031,0.0378303527832031,50.13,19.949
44.059,Windows,117.1,45.1,1257.43359375,4882.1015625,858.703125,0.0175666809082031,0.0222053527832031,56.81,17.601
45.061,Windows,95.2,44.1,1257.4375,4919.796875,858.703125,0.0175666809082031,0.0378303527832031,39.28,25.46
46.063,Windows,63.9,39.0,1257.4375,4952.54296875,858.703125,0.0175666809082031,0.0222053527832031,38.64,25.882
47.064,Windows,67.1,42.5,1257.4375,4996.98046875,858.703125,0.0175666809082031,0.0378303527832031,55.18,18.123
48.066,Windows,81.1,41.9,1257.44140625,5007.45703125,858.703125,0.0175666809082031,0.0378303527832031,47.14,21.212
49.067,Windows,90.5,41.2,1257.4453125,5017.3671875,858.703125,0.0175666809082031,0.0222053527832031,44.8,22.321
50.069,Windows,107.6,49.0,1257.4453125,5040.20703125,858.703125,0.0175666809082031,0.0378303527832031,44.15,22.648
51.071,Windows,106.0,54.8,1257.44921875,5095.2421875,858.703125,0.0175666809082031,0.0222053527832031,42.54,23.507
52.072,Windows,121.7,57.2,1257.44921875,5110.80859375,858.703125,0.0175666809082031,0.0378303527832031,53.34,18.749
53.074,Windows,120.1,46.5,1257.44921875,5146.53125,858.703125,0.0175666809082031,0.0222053527832031,46.64,21.443
54.075,Windows,132.6,46.3,1257.4453125,5227.03125,858.703125,0.0175666809082031,0.0177192687988281,55.42,18.043
55.076,Windows,126.4,49.3,1257.453125,5257.26171875,858.703125,0.0175666809082031,0.0534553527832031,56.58,17.675
56.078,Windows,123.2,48.3,1257.453125,5269.25390625,858.703125,0.0177526473999023,0.0378646850585937,55.5,18.018
57.08,Windows,118.6,55.7,1257.45703125,5207.26171875,956.26953125,0.0176734924316406,0.0379056930541992,55.02,18.176
58.081,Windows,101.4,46.3,1257.45703125,5255.22265625,960.04296875,0.0175666809082031,0.0222053527832031,48.36,20.678
59.082,Windows,101.4,43.9,1257.45703125,5312.69140625,960.04296875,0.0175666809082031,0.0378303527832031,43.64,22.913
60.084,Windows,110.7,53.3,1257.40625,5320.21875,960.04296875,0.0175666809082031,0.0222053527832031,55.64,17.972
61.086,Windows,120.1,49.1,1257.41015625,5337.0703125,960.04296875,0.0175666809082031,0.0378303527832031,44.32,22.563
62.088,Windows,121.7,49.1,1257.41015625,5390.15625,960.04296875,0.0175666809082031,0.0222053527832031,43.04,23.235
